zone_code,elevation_mean,elevation_min,elevation_max,elevation_std,slope_mean,slope_min,slope_max,elevation_source,elevation_warning,low_elevation_score,low_slope_score
NSR-GRID-001,72.64079210914176,57.0,84.0,5.061942699091779,5.994002613861012,0.9274099469184875,14.843045234680176,srtm_earth_engine,,0.8659807873128332,0.562558674533516
NSR-GRID-002,79.21488701816571,64.0,90.0,5.548124261900136,7.127927557404519,0.9274099469184875,18.304479598999023,srtm_earth_engine,,0.8345233043348896,0.4501194338280651
NSR-GRID-003,54.376723929349154,44.0,59.0,3.412395704551927,5.901407614880314,2.3345067501068115,12.76917839050293,srtm_earth_engine,,0.9533755727281121,0.5717403328414958
NSR-GRID-004,58.80803620708687,52.0,70.0,4.223742416388545,4.872579186039527,0.0,10.631880760192871,srtm_earth_engine,,0.9321714476772947,0.6737582732825438
NSR-GRID-005,46.63636363636364,46.0,47.0,0.5,4.804499192671343,1.8543341159820557,6.490307807922363,srtm_earth_engine,,0.990413713419618,0.6805090399934599
NSR-GRID-006,56.42074165959391,45.0,68.0,4.815706656989687,4.662196512440635,0.0,21.447528839111328,srtm_earth_engine,,0.9435948114452886,0.6946196788030183
NSR-GRID-007,59.12139256407327,53.0,72.0,3.424290441869212,4.270243845313732,0.0,15.098612785339355,srtm_earth_engine,,0.9306720165917471,0.7334854437155567
NSR-GRID-008,68.19219346627065,59.0,89.0,5.776508941874457,7.524644331783292,0.0,23.608686447143555,srtm_earth_engine,,0.8872676287747246,0.4107812632196385
NSR-GRID-009,82.12943218853887,62.0,123.0,8.987752678881128,9.31520645624471,0.9274099469184875,36.633487701416016,srtm_earth_engine,,0.8205770111410371,0.23323031784469328
NSR-GRID-010,44.90100909607732,31.0,53.0,4.4860947838562675,5.433560588058759,0.9274099469184875,19.328519821166992,srtm_earth_engine,,0.9987175007344044,0.6181317318151618
NSR-GRID-011,81.21651354808695,68.0,103.0,5.627920982961507,7.366792462096407,0.9274099469184875,34.33021545410156,srtm_earth_engine,,0.8249453877753391,0.42643374927931055
NSR-GRID-012,81.15300353356889,73.0,89.0,3.286387793387496,4.472092664826253,0.0,20.44487190246582,srtm_earth_engine,,0.8252492874342698,0.7134702494714338
NSR-GRID-013,86.1729712253475,80.0,94.0,3.250512203237085,4.437477949515074,0.9274099469184875,10.435257911682129,srtm_earth_engine,,0.8012284069329573,0.7169026215424297
NSR-GRID-014,145.73720608575374,140.0,157.0,3.681477518398462,4.768780884971097,0.0,17.641950607299805,srtm_earth_engine,,0.5162095670553242,0.6840508435493009
NSR-GRID-015,139.9039230823215,136.0,145.0,2.368054424169813,2.94693169255651,0.0,8.311233520507812,srtm_earth_engine,,0.5441222156138527,0.8647041937038437
NSR-GRID-016,44.63298791018997,33.0,56.0,5.60257877132388,7.185755470805148,2.1426913738250732,22.755245208740234,srtm_earth_engine,,1.0,0.44438525652526384
NSR-GRID-017,135.98742076069723,128.0,141.0,3.4696248788886175,4.600466301313431,0.9274099469184875,13.665555000305176,srtm_earth_engine,,0.562862940659738,0.7007408053442863
NSR-GRID-018,149.5374622752921,140.0,156.0,4.632065864801872,4.169219186035081,0.9274099469184875,9.076276779174805,srtm_earth_engine,,0.49802508751120744,0.7435029815133595
NSR-GRID-019,91.81917489831497,87.0,99.0,2.321324181014011,3.0445955782418754,0.9274099469184875,6.66301965713501,srtm_earth_engine,,0.7742109454587439,0.8550199079728233
NSR-GRID-020,127.13578928635,122.0,131.0,2.531655622386973,3.3597317395377475,0.9274099469184875,9.600205421447754,srtm_earth_engine,,0.6052185881343571,0.8237712165169246
NSR-GRID-021,94.67315436241608,93.0,96.0,0.8764508485731486,1.5825033261471946,0.0,3.7070302963256836,srtm_earth_engine,,0.7605544632123247,1.0
NSR-GRID-022,127.5322175732218,125.0,130.0,1.6874967938826824,3.343160492805258,1.071717381477356,4.897557258605957,srtm_earth_engine,,0.6033216523190364,0.8254144102845131
NSR-GRID-023,149.56,149.0,151.0,1.0,2.9066273117065426,2.3344295024871826,4.377993106842041,srtm_earth_engine,,0.4979172429940274,0.8687007492128105
NSR-GRID-024,54.73643512023234,46.0,77.0,6.05951846769664,5.82237012742348,0.0,23.28973388671875,srtm_earth_engine,,0.9516543306680605,0.579577637354034
NSR-GRID-025,57.0630976079366,44.0,75.0,4.945753745359682,5.263891018261135,0.0,23.85716438293457,srtm_earth_engine,,0.9405210953535063,0.6349560531315694
NSR-GRID-026,64.10467771398751,55.0,84.0,3.985757033626539,5.262632443830136,0.0,23.85716438293457,srtm_earth_engine,,0.9068266645019125,0.6350808525322692
NSR-GRID-027,67.59576168879904,59.0,85.0,5.321339394292172,5.075151479412649,0.0,23.584991455078125,srtm_earth_engine,,0.8901215946433286,0.6536713398531957
NSR-GRID-028,82.94008419541177,72.0,109.0,7.1539076777470845,8.300377388287865,0.0,33.07526779174805,srtm_earth_engine,,0.8166979871749798,0.33386009100261127
NSR-GRID-029,83.85653705636742,73.0,98.0,5.540442342055068,6.556711088080495,0.0,20.720638275146484,srtm_earth_engine,,0.8123126990596489,0.5067608777392754
NSR-GRID-030,89.17781983098968,73.0,107.0,6.239351422450891,5.9248855498518616,0.0,23.793231964111328,srtm_earth_engine,,0.7868500057733487,0.5694122764771272
NSR-GRID-031,91.1561204842868,71.0,104.0,5.460791784492493,6.77492849813703,0.9274099469184875,25.62436866760254,srtm_earth_engine,,0.7773837050905087,0.4851225849799755
NSR-GRID-032,92.98708246346555,85.0,100.0,3.1458705227069745,3.5386888599937047,0.0,11.929497718811035,srtm_earth_engine,,0.7686224297985722,0.8060259478750502
NSR-GRID-033,131.00758415970773,117.0,140.0,4.7945983960406595,4.049539985441426,0.0,13.141670227050781,srtm_earth_engine,,0.586691791212768,0.7553702911793185
NSR-GRID-034,138.16932036934327,125.0,151.0,4.636683515100643,3.5704885982639443,0.0,13.665555000305176,srtm_earth_engine,,0.5524224053847833,0.8028727070489297
NSR-GRID-035,144.4608882942272,136.0,151.0,3.2734623192510166,3.4329111530155805,0.0,11.662607192993164,srtm_earth_engine,,0.5223168328853749,0.8165147947109057
